#グループ名,担当1(聖域30),担当2(聖域40),担当3(聖域50)
A,ねずみ,うし,とら
B,うさぎ,りゅう,へび
C,うま,ひつじ,さる
D,にわとり,いぬ,いのしし
#グループ名,担当4(2MP),担当5(罠),担当6(MH)
他,-,-,-

#担当エリア,担当者1(上側),担当者2(下側)
1列目,とら,へび
2列目,うさぎ,りゅう
3列目,うま,いぬ
4列目,にわとり,いのしし
5列目,ねずみ,さる
フリー,うし,ひつじ

#階層,フィールド1,フィールド2,フィールド3,フィールド4
1,,A,ねずみ(30) うし(40) とら(50),, 
2,,B,うさぎ(30) りゅう(40) へび(50),, 
3,,C,うま(30) ひつじ(40) さる(50),, 
4,,D,にわとり(30) いぬ(40) いのしし(50),, 
5,ボストード。弱点は風,-,-,, 
6,,A,ねずみ(30) うし(40) とら(50),, 
7,,B,うさぎ(30) りゅう(40) へび(50),, 
8,,C,うま(30) ひつじ(40) さる(50),, 
9,,D,にわとり(30) いぬ(40) いのしし(50),, 
10,ボスエドガ。弱点は水,-,-,, 
11,,A,ねずみ(30) うし(40) とら(50),, 
12,生体階,B,うさぎ(30) りゅう(40) へび(50),, 
13,魔法反射,C,うま(30) ひつじ(40) さる(50),, 
14,,D,にわとり(30) いぬ(40) いのしし(50),, 
15,ボス狼。弱点は火,-,-,, 
16,魔法反射1列目2列目,A,ねずみ(30) うし(40) とら(50),, 
17,,B,うさぎ(30) りゅう(40) へび(50),, 
18,,C,うま(30) ひつじ(40) さる(50),, 
19,魔法反射3列目,D,にわとり(30) いぬ(40) いのしし(50),, 
20,ボスオシリス。弱点は聖,-,-,, 
21,,A,ねずみ(30) うし(40) とら(50),, 
22,,B,うさぎ(30) りゅう(40) へび(50),, 
23,,C,うま(30) ひつじ(40) さる(50),, 
24,,D,にわとり(30) いぬ(40) いのしし(50),, 
25,ボスボーカル。下側に立たない。弱点は火,-,-,, 
26,,A,ねずみ(30) うし(40) とら(50),, 
27,デビルズ,B,うさぎ(30) りゅう(40) へび(50),, 
28,デビルズ,C,うま(30) ひつじ(40) さる(50),, 
29,カウンタヒールー,D,にわとり(30) いぬ(40) いのしし(50),, 
30,ボスフリオニ。下側に立たない。,-,-,, 
31,,A,ねずみ(30) うし(40) とら(50),, 
32,,B,うさぎ(30) りゅう(40) へび(50),, 
33,,C,うま(30) ひつじ(40) さる(50),, 
34,,D,にわとり(30) いぬ(40) いのしし(50),, 
35,ボスうさぎ。聖鎧。,-,-,, 
36,,A,ねずみ(30) うし(40) とら(50),, 
37,,B,うさぎ(30) りゅう(40) へび(50),, 
38,,C,うま(30) ひつじ(40) さる(50),, 
39,,D,にわとり(30) いぬ(40) いのしし(50),, 
40,ボスオークヒーロー。弱点は火。,-,-,, 
41,汚染チェック。生体,A,ねずみ(30) うし(40) とら(50),, 
42,汚染チェック。生体,B,うさぎ(30) りゅう(40) へび(50),, 
43,,C,うま(30) ひつじ(40) さる(50),, 
44,,D,にわとり(30) いぬ(40) いのしし(50),, 
45,ボスキメラ。弱点は水。,-,-,, 
46,,A,ねずみ(30) うし(40) とら(50),, 
47,,B,うさぎ(30) りゅう(40) へび(50),, 
48,,C,うま(30) ひつじ(40) さる(50),, 
49,,D,にわとり(30) いぬ(40) いのしし(50),, 
50,ボスタオ。,-,-,, 
